Original               apple.com                       
Character Omission     aple.com                        
Character Omission     appe.com                        
Character Omission     appl.com                        
Character Omission     apple.cm                        
Character Omission     apple.co                        
Character Repeat       aapple.com                      
Character Repeat       applee.com                      
Character Repeat       applle.com                      
Character Repeat       appple.com                      
Character Swap         aplpe.com                       
Character Swap         appel.com                       
Character Swap         paple.com                       
Character Replacement  aople.com                       
Character Replacement  apole.com                       
Character Replacement  appke.com                       
Character Replacement  applr.com                       
Character Replacement  applw.com                       
Character Replacement  spple.com                       
Double Replacement     aoole.com                       
Character Insertion    apople.com                      
Character Insertion    appler.com                      
Character Insertion    applew.com                      
Character Insertion    applke.com                      
Character Insertion    appole.com                      
Character Insertion    aspple.com                      
Missing Dot            applecom.com                    
Missing Dot            wwwapple.com                    
Insert Dash            a-pple.com                      
Insert Dash            ap-ple.com                      
Insert Dash            app-le.com                      
Insert Dash            appl-e.com                      
Insert Dash            apple-.com                      
Singular or Pluralise  apples.com                      
Vowel Swap             appla.com                       
Vowel Swap             apple.cam                       
Vowel Swap             appli.com                       
Vowel Swap             applo.com                       
Vowel Swap             applu.com                       
Bit Flipping           a0ple.com                       
Bit Flipping           ap0le.com                       
Bit Flipping           appde.com                       
Bit Flipping           apphe.com                       
Bit Flipping           appld.com                       
Bit Flipping           apple.bom                       
Bit Flipping           applg.com                       
Bit Flipping           applm.com                       
Bit Flipping           appme.com                       
Bit Flipping           appne.com                       
Bit Flipping           apqle.com                       
Bit Flipping           aprle.com                       
Bit Flipping           aptle.com                       
Bit Flipping           apxle.com                       
Bit Flipping           aqple.com                       
Bit Flipping           arple.com                       
Bit Flipping           atple.com                       
Bit Flipping           axple.com                       
Bit Flipping           cpple.com                       
Bit Flipping           epple.com                       
Bit Flipping           ipple.com                       
Bit Flipping           qpple.com                       
Homoglyphs             app1e.com                       
Wrong TLD              apple.aaa                       
Wrong TLD              apple.aarp                      
Wrong TLD              apple.abarth                    
Wrong TLD              apple.abb                       
Wrong TLD              apple.abbott                    
Wrong TLD              apple.abbvie                    
Wrong TLD              apple.abc                       
Wrong TLD              apple.able                      
Wrong TLD              apple.abogado                   
Wrong TLD              apple.abudhabi                  
Wrong TLD              apple.ac                        
Wrong TLD              apple.academy                   
Wrong TLD              apple.accenture                 
Wrong TLD              apple.accountant                
Wrong TLD              apple.accountants               
Wrong TLD              apple.aco                       
Wrong TLD              apple.actor                     
Wrong TLD              apple.ad                        
Wrong TLD              apple.adac                      
Wrong TLD              apple.ads                       
Wrong TLD              apple.adult                     
Wrong TLD              apple.ae                        
Wrong TLD              apple.aeg                       
Wrong TLD              apple.aero                      
Wrong TLD              apple.aetna                     
Wrong TLD              apple.af                        
Wrong TLD              apple.afamilycompany            
Wrong TLD              apple.afl                       
Wrong TLD              apple.africa                    
Wrong TLD              apple.ag                        
Wrong TLD              apple.agakhan                   
Wrong TLD              apple.agency                    
Wrong TLD              apple.ai                        
Wrong TLD              apple.aig                       
Wrong TLD              apple.aigo                      
Wrong TLD              apple.airbus                    
Wrong TLD              apple.airforce                  
Wrong TLD              apple.airtel                    
Wrong TLD              apple.akdn                      
Wrong TLD              apple.alfaromeo                 
Wrong TLD              apple.alibaba                   
Wrong TLD              apple.alipay                    
Wrong TLD              apple.allfinanz                 
Wrong TLD              apple.allstate                  
Wrong TLD              apple.ally                      
Wrong TLD              apple.alsace                    
Wrong TLD              apple.alstom                    
Wrong TLD              apple.am                        
Wrong TLD              apple.americanexpress           
Wrong TLD              apple.americanfamily            
Wrong TLD              apple.amex                      
Wrong TLD              apple.amfam                     
Wrong TLD              apple.amica                     
Wrong TLD              apple.amsterdam                 
Wrong TLD              apple.analytics                 
Wrong TLD              apple.android                   
Wrong TLD              apple.anquan                    
Wrong TLD              apple.anz                       
Wrong TLD              apple.aol                       
Wrong TLD              apple.apartments                
Wrong TLD              apple.app                       
Wrong TLD              apple.apple                     
Wrong TLD              apple.aq                        
Wrong TLD              apple.aquarelle                 
Wrong TLD              apple.arab                      
Wrong TLD              apple.aramco                    
Wrong TLD              apple.archi                     
Wrong TLD              apple.army                      
Wrong TLD              apple.arpa                      
Wrong TLD              apple.art                       
Wrong TLD              apple.arte                      
Wrong TLD              apple.as                        
Wrong TLD              apple.asda                      
Wrong TLD              apple.asia                      
Wrong TLD              apple.associates                
Wrong TLD              apple.at                        
Wrong TLD              apple.athleta                   
Wrong TLD              apple.attorney                  
Wrong TLD              apple.auction                   
Wrong TLD              apple.audi                      
Wrong TLD              apple.audible                   
Wrong TLD              apple.audio                     
Wrong TLD              apple.auspost                   
Wrong TLD              apple.author                    
Wrong TLD              apple.auto                      
Wrong TLD              apple.autos                     
Wrong TLD              apple.avianca                   
Wrong TLD              apple.aw                        
Wrong TLD              apple.aws                       
Wrong TLD              apple.ax                        
Wrong TLD              apple.axa                       
Wrong TLD              apple.az                        
Wrong TLD              apple.azure                     
Wrong TLD              apple.ba                        
