Original               facebook.com                       
Character Omission     facbook.com                        
Character Omission     facebok.com                        
Character Omission     faceboo.com                        
Character Omission     facebook.cm                        
Character Omission     facebook.co                        
Character Omission     faceook.com                        
Character Omission     faebook.com                        
Character Omission     fcebook.com                        
Character Repeat       faacebook.com                      
Character Repeat       faccebook.com                      
Character Repeat       facebbook.com                      
Character Repeat       facebookk.com                      
Character Repeat       faceboook.com                      
Character Repeat       faceebook.com                      
Character Repeat       ffacebook.com                      
Character Swap         afcebook.com                       
Character Swap         facbeook.com                       
Character Swap         faceboko.com                       
Character Swap         faceobok.com                       
Character Swap         faecbook.com                       
Character Swap         fcaebook.com                       
Character Replacement  dacebook.com                       
Character Replacement  facebiok.com                       
Character Replacement  faceboik.com                       
Character Replacement  facebooj.com                       
Character Replacement  facebool.com                       
Character Replacement  facebopk.com                       
Character Replacement  facebpok.com                       
Character Replacement  facenook.com                       
Character Replacement  facevook.com                       
Character Replacement  facrbook.com                       
Character Replacement  facwbook.com                       
Character Replacement  favebook.com                       
Character Replacement  faxebook.com                       
Character Replacement  fscebook.com                       
Character Replacement  gacebook.com                       
Double Replacement     facebiik.com                       
Double Replacement     facebppk.com                       
Character Insertion    facebnook.com                      
Character Insertion    faceboiok.com                      
Character Insertion    facebooik.com                      
Character Insertion    facebookj.com                      
Character Insertion    facebookl.com                      
Character Insertion    faceboopk.com                      
Character Insertion    facebopok.com                      
Character Insertion    facebvook.com                      
Character Insertion    facerbook.com                      
Character Insertion    facewbook.com                      
Character Insertion    facvebook.com                      
Character Insertion    facxebook.com                      
Character Insertion    fascebook.com                      
Character Insertion    fdacebook.com                      
Character Insertion    fgacebook.com                      
Missing Dot            facebookcom.com                    
Missing Dot            wwwfacebook.com                    
Insert Dash            f-acebook.com                      
Insert Dash            fa-cebook.com                      
Insert Dash            fac-ebook.com                      
Insert Dash            face-book.com                      
Insert Dash            faceb-ook.com                      
Insert Dash            facebo-ok.com                      
Insert Dash            faceboo-k.com                      
Insert Dash            facebook-.com                      
Singular or Pluralise  facebooks.com                      
Vowel Swap             facabook.com                       
Vowel Swap             facebaak.cam                       
Vowel Swap             facibook.com                       
Vowel Swap             facobook.com                       
Vowel Swap             facubook.com                       
Vowel Swap             fecebook.com                       
Vowel Swap             ficebook.com                       
Vowel Swap             focebook.com                       
Vowel Swap             fucebook.com                       
Bit Flipping           bacebook.com                       
Bit Flipping           faaebook.com                       
Bit Flipping           fabebook.com                       
Bit Flipping           facdbook.com                       
Bit Flipping           facebgok.com                       
Bit Flipping           facebkok.com                       
Bit Flipping           facebmok.com                       
Bit Flipping           facebnok.com                       
Bit Flipping           facebogk.com                       
Bit Flipping           facebokk.com                       
Bit Flipping           facebomk.com                       
Bit Flipping           facebonk.com                       
Bit Flipping           facebooc.com                       
Bit Flipping           facebooi.com                       
Bit Flipping           facebook.bom                       
Bit Flipping           facebooo.com                       
Bit Flipping           facecook.com                       
Bit Flipping           facefook.com                       
Bit Flipping           facejook.com                       
Bit Flipping           facerook.com                       
Bit Flipping           facgbook.com                       
Bit Flipping           facmbook.com                       
Bit Flipping           fagebook.com                       
Bit Flipping           fakebook.com                       
Bit Flipping           fasebook.com                       
Bit Flipping           fccebook.com                       
Bit Flipping           fqcebook.com                       
Bit Flipping           nacebook.com                       
Bit Flipping           vacebook.com                       
Homoglyphs             faceb00k.com                       
Homoglyphs             faceb0ok.com                       
Homoglyphs             facebo0k.com                       
Wrong TLD              facebook.aaa                       
Wrong TLD              facebook.aarp                      
Wrong TLD              facebook.abarth                    
Wrong TLD              facebook.abb                       
Wrong TLD              facebook.abbott                    
Wrong TLD              facebook.abbvie                    
Wrong TLD              facebook.abc                       
Wrong TLD              facebook.able                      
Wrong TLD              facebook.abogado                   
Wrong TLD              facebook.abudhabi                  
Wrong TLD              facebook.ac                        
Wrong TLD              facebook.academy                   
Wrong TLD              facebook.accenture                 
Wrong TLD              facebook.accountant                
Wrong TLD              facebook.accountants               
Wrong TLD              facebook.aco                       
Wrong TLD              facebook.actor                     
Wrong TLD              facebook.ad                        
Wrong TLD              facebook.adac                      
Wrong TLD              facebook.ads                       
Wrong TLD              facebook.adult                     
Wrong TLD              facebook.ae                        
Wrong TLD              facebook.aeg                       
Wrong TLD              facebook.aero                      
Wrong TLD              facebook.aetna                     
Wrong TLD              facebook.af                        
Wrong TLD              facebook.afamilycompany            
Wrong TLD              facebook.afl                       
Wrong TLD              facebook.africa                    
Wrong TLD              facebook.ag                        
Wrong TLD              facebook.agakhan                   
Wrong TLD              facebook.agency                    
Wrong TLD              facebook.ai                        
Wrong TLD              facebook.aig                       
Wrong TLD              facebook.aigo                      
Wrong TLD              facebook.airbus                    
Wrong TLD              facebook.airforce                  
Wrong TLD              facebook.airtel                    
Wrong TLD              facebook.akdn                      
Wrong TLD              facebook.alfaromeo                 
Wrong TLD              facebook.alibaba                   
Wrong TLD              facebook.alipay                    
Wrong TLD              facebook.allfinanz                 
Wrong TLD              facebook.allstate                  
Wrong TLD              facebook.ally                      
Wrong TLD              facebook.alsace                    
Wrong TLD              facebook.alstom                    
Wrong TLD              facebook.am                        
Wrong TLD              facebook.americanexpress           
Wrong TLD              facebook.americanfamily            
Wrong TLD              facebook.amex                      
Wrong TLD              facebook.amfam                     
Wrong TLD              facebook.amica                     
Wrong TLD              facebook.amsterdam                 
Wrong TLD              facebook.analytics                 
Wrong TLD              facebook.android                   
Wrong TLD              facebook.anquan                    
Wrong TLD              facebook.anz                       
Wrong TLD              facebook.aol                       
Wrong TLD              facebook.apartments                
Wrong TLD              facebook.app                       
Wrong TLD              facebook.apple                     
Wrong TLD              facebook.aq                        
Wrong TLD              facebook.aquarelle                 
Wrong TLD              facebook.arab                      
Wrong TLD              facebook.aramco                    
Wrong TLD              facebook.archi                     
Wrong TLD              facebook.army                      
Wrong TLD              facebook.arpa                      
Wrong TLD              facebook.art                       
Wrong TLD              facebook.arte                      
Wrong TLD              facebook.as                        
Wrong TLD              facebook.asda                      
Wrong TLD              facebook.asia                      
Wrong TLD              facebook.associates                
Wrong TLD              facebook.at                        
Wrong TLD              facebook.athleta                   
Wrong TLD              facebook.attorney                  
Wrong TLD              facebook.auction                   
Wrong TLD              facebook.audi                      
Wrong TLD              facebook.audible                   
Wrong TLD              facebook.audio                     
Wrong TLD              facebook.auspost                   
Wrong TLD              facebook.author                    
Wrong TLD              facebook.auto                      
