Original               netflix.com                       
Character Omission     neflix.com                        
Character Omission     netfix.com                        
Character Omission     netfli.com                        
Character Omission     netflix.cm                        
Character Omission     netflix.co                        
Character Omission     netflx.com                        
Character Omission     netlix.com                        
Character Omission     ntflix.com                        
Character Repeat       neetflix.com                      
Character Repeat       netfflix.com                      
Character Repeat       netfliix.com                      
Character Repeat       netflixx.com                      
Character Repeat       netfllix.com                      
Character Repeat       nettflix.com                      
Character Repeat       nnetflix.com                      
Character Swap         entflix.com                       
Character Swap         neftlix.com                       
Character Swap         netfilx.com                       
Character Swap         netflxi.com                       
Character Swap         netlfix.com                       
Character Swap         nteflix.com                       
Character Replacement  betflix.com                       
Character Replacement  metflix.com                       
Character Replacement  nerflix.com                       
Character Replacement  netdlix.com                       
Character Replacement  netfkix.com                       
Character Replacement  netflic.com                       
Character Replacement  netfliz.com                       
Character Replacement  netflox.com                       
Character Replacement  netflux.com                       
Character Replacement  netglix.com                       
Character Replacement  neyflix.com                       
Character Replacement  nrtflix.com                       
Character Replacement  nwtflix.com                       
Character Insertion    nbetflix.com                      
Character Insertion    nertflix.com                      
Character Insertion    netfdlix.com                      
Character Insertion    netfglix.com                      
Character Insertion    netfliox.com                      
Character Insertion    netfliux.com                      
Character Insertion    netflixc.com                      
Character Insertion    netflixz.com                      
Character Insertion    netflkix.com                      
Character Insertion    netrflix.com                      
Character Insertion    netyflix.com                      
Character Insertion    newtflix.com                      
Character Insertion    nmetflix.com                      
Missing Dot            netflixcom.com                    
Missing Dot            wwwnetflix.com                    
Insert Dash            n-etflix.com                      
Insert Dash            ne-tflix.com                      
Insert Dash            net-flix.com                      
Insert Dash            netf-lix.com                      
Insert Dash            netfl-ix.com                      
Insert Dash            netfli-x.com                      
Insert Dash            netflix-.com                      
Singular or Pluralise  netflixes.com                     
Vowel Swap             natflix.com                       
Vowel Swap             netflax.com                       
Vowel Swap             netflex.com                       
Vowel Swap             netflix.cam                       
Vowel Swap             nitflix.com                       
Vowel Swap             notflix.com                       
Vowel Swap             nutflix.com                       
Homophones             netflayex.com                     
Homophones             netfleyex.com                     
Bit Flipping           .etflix.com                       
Bit Flipping           fetflix.com                       
Bit Flipping           jetflix.com                       
Bit Flipping           letflix.com                       
Bit Flipping           ndtflix.com                       
Bit Flipping           ne4flix.com                       
Bit Flipping           nedflix.com                       
Bit Flipping           nepflix.com                       
Bit Flipping           netblix.com                       
Bit Flipping           netfdix.com                       
Bit Flipping           netfhix.com                       
Bit Flipping           netflhx.com                       
Bit Flipping           netfli8.com                       
Bit Flipping           netflih.com                       
Bit Flipping           netflip.com                       
Bit Flipping           netflix.bom                       
Bit Flipping           netfliy.com                       
Bit Flipping           netflkx.com                       
Bit Flipping           netflmx.com                       
Bit Flipping           netflyx.com                       
Bit Flipping           netfmix.com                       
Bit Flipping           netfnix.com                       
Bit Flipping           netnlix.com                       
Bit Flipping           netvlix.com                       
Bit Flipping           neuflix.com                       
Bit Flipping           nevflix.com                       
Bit Flipping           ngtflix.com                       
Bit Flipping           nmtflix.com                       
Bit Flipping           oetflix.com                       
Homoglyphs             netf1ix.com                       
Homoglyphs             netfllx.com                       
Wrong TLD              netflix.aaa                       
Wrong TLD              netflix.aarp                      
Wrong TLD              netflix.abarth                    
Wrong TLD              netflix.abb                       
Wrong TLD              netflix.abbott                    
Wrong TLD              netflix.abbvie                    
Wrong TLD              netflix.abc                       
Wrong TLD              netflix.able                      
Wrong TLD              netflix.abogado                   
Wrong TLD              netflix.abudhabi                  
Wrong TLD              netflix.ac                        
Wrong TLD              netflix.academy                   
Wrong TLD              netflix.accenture                 
Wrong TLD              netflix.accountant                
Wrong TLD              netflix.accountants               
Wrong TLD              netflix.aco                       
Wrong TLD              netflix.actor                     
Wrong TLD              netflix.ad                        
Wrong TLD              netflix.adac                      
Wrong TLD              netflix.ads                       
Wrong TLD              netflix.adult                     
Wrong TLD              netflix.ae                        
Wrong TLD              netflix.aeg                       
Wrong TLD              netflix.aero                      
Wrong TLD              netflix.aetna                     
Wrong TLD              netflix.af                        
Wrong TLD              netflix.afamilycompany            
Wrong TLD              netflix.afl                       
Wrong TLD              netflix.africa                    
Wrong TLD              netflix.ag                        
Wrong TLD              netflix.agakhan                   
Wrong TLD              netflix.agency                    
Wrong TLD              netflix.ai                        
Wrong TLD              netflix.aig                       
Wrong TLD              netflix.aigo                      
Wrong TLD              netflix.airbus                    
Wrong TLD              netflix.airforce                  
Wrong TLD              netflix.airtel                    
Wrong TLD              netflix.akdn                      
Wrong TLD              netflix.alfaromeo                 
Wrong TLD              netflix.alibaba                   
Wrong TLD              netflix.alipay                    
Wrong TLD              netflix.allfinanz                 
Wrong TLD              netflix.allstate                  
Wrong TLD              netflix.ally                      
Wrong TLD              netflix.alsace                    
Wrong TLD              netflix.alstom                    
Wrong TLD              netflix.am                        
Wrong TLD              netflix.americanexpress           
Wrong TLD              netflix.americanfamily            
Wrong TLD              netflix.amex                      
Wrong TLD              netflix.amfam                     
Wrong TLD              netflix.amica                     
Wrong TLD              netflix.amsterdam                 
Wrong TLD              netflix.analytics                 
Wrong TLD              netflix.android                   
Wrong TLD              netflix.anquan                    
Wrong TLD              netflix.anz                       
Wrong TLD              netflix.aol                       
Wrong TLD              netflix.apartments                
