Original               office.com                       
Character Omission     offce.com                        
Character Omission     offic.com                        
Character Omission     office.cm                        
Character Omission     office.co                        
Character Omission     offie.com                        
Character Omission     ofice.com                        
Character Repeat       offfice.com                      
Character Repeat       officce.com                      
Character Repeat       officee.com                      
Character Repeat       offiice.com                      
Character Repeat       ooffice.com                      
Character Swap         fofice.com                       
Character Swap         offcie.com                       
Character Swap         offiec.com                       
Character Swap         ofifce.com                       
Character Replacement  iffice.com                       
Character Replacement  odfice.com                       
Character Replacement  ofdice.com                       
Character Replacement  officr.com                       
Character Replacement  officw.com                       
Character Replacement  offive.com                       
Character Replacement  offixe.com                       
Character Replacement  offoce.com                       
Character Replacement  offuce.com                       
Character Replacement  ofgice.com                       
Character Replacement  ogfice.com                       
Character Replacement  pffice.com                       
Double Replacement     oddice.com                       
Double Replacement     oggice.com                       
Character Insertion    ofdfice.com                      
Character Insertion    offdice.com                      
Character Insertion    offgice.com                      
Character Insertion    officer.com                      
Character Insertion    officew.com                      
Character Insertion    officve.com                      
Character Insertion    officxe.com                      
Character Insertion    offioce.com                      
Character Insertion    offiuce.com                      
Character Insertion    ofgfice.com                      
Character Insertion    oiffice.com                      
Character Insertion    opffice.com                      
Missing Dot            officecom.com                    
Missing Dot            wwwoffice.com                    
Insert Dash            o-ffice.com                      
Insert Dash            of-fice.com                      
Insert Dash            off-ice.com                      
Insert Dash            offi-ce.com                      
Insert Dash            offic-e.com                      
Insert Dash            office-.com                      
Singular or Pluralise  offices.com                      
Vowel Swap             offace.com                       
Vowel Swap             offece.com                       
Vowel Swap             offica.com                       
Vowel Swap             office.cam                       
Vowel Swap             offici.com                       
Vowel Swap             offico.com                       
Vowel Swap             officu.com                       
Homophones             offayece.com                     
Homophones             offeyece.com                     
Bit Flipping           gffice.com                       
Bit Flipping           kffice.com                       
Bit Flipping           mffice.com                       
Bit Flipping           nffice.com                       
Bit Flipping           obfice.com                       
Bit Flipping           ofbice.com                       
Bit Flipping           offhce.com                       
Bit Flipping           offiae.com                       
Bit Flipping           offibe.com                       
Bit Flipping           officd.com                       
Bit Flipping           office.bom                       
Bit Flipping           officg.com                       
Bit Flipping           officm.com                       
Bit Flipping           offige.com                       
Bit Flipping           offike.com                       
Bit Flipping           offise.com                       
Bit Flipping           offkce.com                       
Bit Flipping           offmce.com                       
Bit Flipping           offyce.com                       
Bit Flipping           ofnice.com                       
Bit Flipping           ofvice.com                       
Bit Flipping           onfice.com                       
Bit Flipping           ovfice.com                       
Homoglyphs             0ffice.com                       
Homoglyphs             offlce.com                       
Wrong TLD              office.aaa                       
Wrong TLD              office.aarp                      
Wrong TLD              office.abarth                    
Wrong TLD              office.abb                       
Wrong TLD              office.abbott                    
Wrong TLD              office.abbvie                    
Wrong TLD              office.abc                       
Wrong TLD              office.able                      
Wrong TLD              office.abogado                   
Wrong TLD              office.abudhabi                  
Wrong TLD              office.ac                        
Wrong TLD              office.academy                   
Wrong TLD              office.accenture                 
Wrong TLD              office.accountant                
Wrong TLD              office.accountants               
Wrong TLD              office.aco                       
Wrong TLD              office.actor                     
Wrong TLD              office.ad                        
Wrong TLD              office.adac                      
Wrong TLD              office.ads                       
Wrong TLD              office.adult                     
Wrong TLD              office.ae                        
Wrong TLD              office.aeg                       
