Original               paypal.com                       
Character Omission     papal.com                        
Character Omission     payal.com                        
Character Omission     paypa.com                        
Character Omission     paypal.cm                        
Character Omission     paypal.co                        
Character Omission     paypl.com                        
Character Omission     pypal.com                        
Character Repeat       paaypal.com                      
Character Repeat       paypaal.com                      
Character Repeat       paypall.com                      
Character Repeat       payppal.com                      
Character Repeat       payypal.com                      
Character Repeat       ppaypal.com                      
Character Swap         apypal.com                       
Character Swap         papyal.com                       
Character Swap         payapl.com                       
Character Swap         paypla.com                       
Character Swap         pyapal.com                       
Character Replacement  oaypal.com                       
Character Replacement  patpal.com                       
Character Replacement  paupal.com                       
Character Replacement  payoal.com                       
Character Replacement  paypak.com                       
Character Replacement  paypsl.com                       
Character Replacement  psypal.com                       
Character Insertion    pasypal.com                      
Character Insertion    paypalk.com                      
Character Insertion    paypasl.com                      
Character Insertion    paypoal.com                      
Character Insertion    paytpal.com                      
Character Insertion    payupal.com                      
Character Insertion    poaypal.com                      
Missing Dot            paypalcom.com                    
Missing Dot            wwwpaypal.com                    
Insert Dash            p-aypal.com                      
Insert Dash            pa-ypal.com                      
Insert Dash            pay-pal.com                      
Insert Dash            payp-al.com                      
Insert Dash            paypa-l.com                      
Insert Dash            paypal-.com                      
Singular or Pluralise  paypals.com                      
Vowel Swap             paypal.cam                       
Vowel Swap             peypel.com                       
Vowel Swap             piypil.com                       
Vowel Swap             poypol.com                       
Vowel Swap             puypul.com                       
Bit Flipping           0aypal.com                       
Bit Flipping           pa9pal.com                       
Bit Flipping           paipal.com                       
Bit Flipping           paqpal.com                       
Bit Flipping           paxpal.com                       
Bit Flipping           pay0al.com                       
Bit Flipping           paypad.com                       
Bit Flipping           paypah.com                       
Bit Flipping           paypal.bom                       
Bit Flipping           paypam.com                       
Bit Flipping           paypan.com                       
Bit Flipping           paypcl.com                       
Bit Flipping           paypel.com                       
Bit Flipping           paypil.com                       
Bit Flipping           paypql.com                       
Bit Flipping           payqal.com                       
Bit Flipping           payral.com                       
Bit Flipping           paytal.com                       
Bit Flipping           payxal.com                       
Bit Flipping           pcypal.com                       
Bit Flipping           peypal.com                       
Bit Flipping           piypal.com                       
Bit Flipping           pqypal.com                       
Bit Flipping           qaypal.com                       
Bit Flipping           raypal.com                       
Bit Flipping           taypal.com                       
Bit Flipping           xaypal.com                       
Homoglyphs             paypa1.com                       
Wrong TLD              paypal.aaa                       
Wrong TLD              paypal.aarp                      
Wrong TLD              paypal.abarth                    
Wrong TLD              paypal.abb                       
Wrong TLD              paypal.abbott                    
Wrong TLD              paypal.abbvie                    
Wrong TLD              paypal.abc                       
Wrong TLD              paypal.able                      
Wrong TLD              paypal.abogado                   
Wrong TLD              paypal.abudhabi                  
Wrong TLD              paypal.ac                        
Wrong TLD              paypal.academy                   
Wrong TLD              paypal.accenture                 
Wrong TLD              paypal.accountant                
Wrong TLD              paypal.accountants               
Wrong TLD              paypal.aco                       
Wrong TLD              paypal.actor                     
Wrong TLD              paypal.ad                        
Wrong TLD              paypal.adac                      
Wrong TLD              paypal.ads                       
Wrong TLD              paypal.adult                     
Wrong TLD              paypal.ae                        
Wrong TLD              paypal.aeg                       
Wrong TLD              paypal.aero                      
Wrong TLD              paypal.aetna                     
Wrong TLD              paypal.af                        
Wrong TLD              paypal.afamilycompany            
Wrong TLD              paypal.afl                       
Wrong TLD              paypal.africa                    
Wrong TLD              paypal.ag                        
Wrong TLD              paypal.agakhan                   
Wrong TLD              paypal.agency                    
Wrong TLD              paypal.ai                        
Wrong TLD              paypal.aig                       
Wrong TLD              paypal.aigo                      
Wrong TLD              paypal.airbus                    
Wrong TLD              paypal.airforce                  
Wrong TLD              paypal.airtel                    
Wrong TLD              paypal.akdn                      
Wrong TLD              paypal.alfaromeo                 
Wrong TLD              paypal.alibaba                   
Wrong TLD              paypal.alipay                    
Wrong TLD              paypal.allfinanz                 
Wrong TLD              paypal.allstate                  
Wrong TLD              paypal.ally                      
Wrong TLD              paypal.alsace                    
Wrong TLD              paypal.alstom                    
Wrong TLD              paypal.am                        
Wrong TLD              paypal.americanexpress           
Wrong TLD              paypal.americanfamily            
Wrong TLD              paypal.amex                      
Wrong TLD              paypal.amfam                     
Wrong TLD              paypal.amica                     
Wrong TLD              paypal.amsterdam                 
Wrong TLD              paypal.analytics                 
Wrong TLD              paypal.android                   
Wrong TLD              paypal.anquan                    
Wrong TLD              paypal.anz                       
Wrong TLD              paypal.aol                       
Wrong TLD              paypal.apartments                
Wrong TLD              paypal.app                       
Wrong TLD              paypal.apple                     
Wrong TLD              paypal.aq                        
Wrong TLD              paypal.aquarelle                 
Wrong TLD              paypal.arab                      
Wrong TLD              paypal.aramco                    
Wrong TLD              paypal.archi                     
Wrong TLD              paypal.army                      
Wrong TLD              paypal.arpa                      
Wrong TLD              paypal.art                       
Wrong TLD              paypal.arte                      
Wrong TLD              paypal.as                        
Wrong TLD              paypal.asda                      
Wrong TLD              paypal.asia                      
Wrong TLD              paypal.associates                
Wrong TLD              paypal.at                        
Wrong TLD              paypal.athleta                   
Wrong TLD              paypal.attorney                  
Wrong TLD              paypal.auction                   
Wrong TLD              paypal.audi                      
Wrong TLD              paypal.audible                   
Wrong TLD              paypal.audio                     
Wrong TLD              paypal.auspost                   
Wrong TLD              paypal.author                    
Wrong TLD              paypal.auto                      
Wrong TLD              paypal.autos                     
Wrong TLD              paypal.avianca                   
Wrong TLD              paypal.aw                        
Wrong TLD              paypal.aws                       
Wrong TLD              paypal.ax                        
Wrong TLD              paypal.axa                       
Wrong TLD              paypal.az                        
Wrong TLD              paypal.azure                     
Wrong TLD              paypal.ba                        
Wrong TLD              paypal.baby                      
Wrong TLD              paypal.baidu                     
Wrong TLD              paypal.banamex                   
Wrong TLD              paypal.bananarepublic            
Wrong TLD              paypal.band                      
Wrong TLD              paypal.bank                      
Wrong TLD              paypal.bar                       
Wrong TLD              paypal.barcelona                 
Wrong TLD              paypal.barclaycard               
Wrong TLD              paypal.barclays                  
Wrong TLD              paypal.barefoot                  
Wrong TLD              paypal.bargains                  
Wrong TLD              paypal.baseball                  
Wrong TLD              paypal.basketball                
Wrong TLD              paypal.bauhaus                   
Wrong TLD              paypal.bayern                    
Wrong TLD              paypal.bb                        
Wrong TLD              paypal.bbc                       
Wrong TLD              paypal.bbt                       
Wrong TLD              paypal.bbva                      
Wrong TLD              paypal.bcg                       
Wrong TLD              paypal.bcn                       
